year,PBI (%) - Minería e Hidrocarburos
2000,0.877192982
2001,9.918478261
2002,9.956736712
2003,3.965488168
2004,5.982212851
2005,10.27903892
2006,1.90119345
2007,4.16269463
2008,7.09591831
2009,0.80793194
2010,0.537168591
2011,-0.533612387
2012,2.195998753
2013,4.879148021
2014,-0.872326824
2015,9.457864714
2016,16.29601195
2017,3.424554226
2018,-1.494022801
2019,-0.049193128
2020,-13.41625161
2021,8.122685281
2022,0.515899526
2023,9.434273731
2024,3.031672493
2025,1.496806418
"		",
