year,PBI (%) - Otros Servicios
2000,2.388260664
2001,-1.007418022
2002,3.97890028
2003,5.099918665
2004,3.93903908
2005,5.30984339
2006,7.796508669
2007,8.668297633
2008,8.918615858
2009,3.666622555
2010,9.08105351
2011,6.904996351
2012,7.383172498
2013,6.107236723
2014,4.99371923
2015,4.118819317
2016,3.96375903
2017,3.346968636
2018,4.342715447
2019,3.766264335
2020,-10.23386885
2021,11.51899541
2022,3.583618227
2023,-0.313961364
2024,3.130955878
2025,3.429819208
"		",
