year,inversion_privada_pct_pbi,pbi_pct___mineria_e_hidrocarburos,pbi_pct___manufactura,expectativas_empresariales_totales___indice_de_expectativas_de_la_economia_a_12_meses,tasa_de_referencia_bcrp,ied_pct_del_pib,inversion_privada_pct_pbi,pbi_pct___mineria_e_hidrocarburos,pbi_pct___manufactura,expectativas_empresariales_totales___indice_de_expectativas_de_la_economia_a_12_meses,tasa_de_referencia_bcrp,ied_pct_del_pib,inversion_privada_pct_pbi.2,pbi_pct___mineria_e_hidrocarburos.2,pbi_pct___manufactura.2,expectativas_empresariales_totales___indice_de_expectativas_de_la_economia_a_12_meses.2,tasa_de_referencia_bcrp.2,ied_pct_del_pib.2,inversion_privada_pct_pbi.1,pbi_pct___mineria_e_hidrocarburos.1,pbi_pct___manufactura.1,expectativas_empresariales_totales___indice_de_expectativas_de_la_economia_a_12_meses.1,tasa_de_referencia_bcrp.1,ied_pct_del_pib.1,inversion_publica_pct_pbi,pbi_per_capita_pct,informal_employment_pct_of_total_employment,cotizaciones_internacionales___cobre___lme_us$_por_libras,productividad_total_de_factores_us_=_1,transferencias_corrientes_pct_pbi,indice_de_precios_al_consumidor_ipc,deuda_publica_pct_pbi,cotizaciones_internacionales___oro___lbma_us$_por_onzas_troy,ipc_sin_alimentos_y_energia,resultado_economico_pct_pbi,ingresos_tributarios_del_gobierno_central_pct_pbi,pbi_pct___comercio,pbi_real_pct,ingresos_corrientes_del_gobierno_central_pct_pbi,formacion_bruta_de_capital_fijo_pct_del_pib,remuneracion_publica_pct_pbi,expectativa_de_inflacion_a_12_meses,pbi_pct___otros_servicios,gastos_corrientes_pct_pbi,inversion_publica_pct_pbi.1,pbi_per_capita_pct.1,informal_employment_pct_of_total_employment.1,cotizaciones_internacionales___cobre___lme_us$_por_libras.1,productividad_total_de_factores_us_=_1.1,transferencias_corrientes_pct_pbi.1,indice_de_precios_al_consumidor_ipc.1,deuda_publica_pct_pbi.1,cotizaciones_internacionales___oro___lbma_us$_por_onzas_troy.1,ipc_sin_alimentos_y_energia.1,resultado_economico_pct_pbi.1,ingresos_tributarios_del_gobierno_central_pct_pbi.1,pbi_pct___comercio.1,pbi_real_pct.1,ingresos_corrientes_del_gobierno_central_pct_pbi.1,formacion_bruta_de_capital_fijo_pct_del_pib.1,remuneracion_publica_pct_pbi.1,expectativa_de_inflacion_a_12_meses.1,pbi_pct___otros_servicios.1,gastos_corrientes_pct_pbi.1,inversion_publica_pct_pbi.2,pbi_per_capita_pct.2,informal_employment_pct_of_total_employment.2,cotizaciones_internacionales___cobre___lme_us$_por_libras.2,productividad_total_de_factores_us_=_1.2,transferencias_corrientes_pct_pbi.2,indice_de_precios_al_consumidor_ipc.2,deuda_publica_pct_pbi.2,cotizaciones_internacionales___oro___lbma_us$_por_onzas_troy.2,ipc_sin_alimentos_y_energia.2,resultado_economico_pct_pbi.2,ingresos_tributarios_del_gobierno_central_pct_pbi.2,pbi_pct___comercio.2,pbi_real_pct.2,ingresos_corrientes_del_gobierno_central_pct_pbi.2,formacion_bruta_de_capital_fijo_pct_del_pib.2,remuneracion_publica_pct_pbi.2,expectativa_de_inflacion_a_12_meses.2,pbi_pct___otros_servicios.2,gastos_corrientes_pct_pbi.2,inversion_publica_pct_pbi,pbi_per_capita_pct,informal_employment_pct_of_total_employment,cotizaciones_internacionales___cobre___lme_us$_por_libras,productividad_total_de_factores_us_=_1,transferencias_corrientes_pct_pbi,indice_de_precios_al_consumidor_ipc,deuda_publica_pct_pbi,cotizaciones_internacionales___oro___lbma_us$_por_onzas_troy,ipc_sin_alimentos_y_energia,resultado_economico_pct_pbi,ingresos_tributarios_del_gobierno_central_pct_pbi,pbi_pct___comercio,pbi_real_pct,ingresos_corrientes_del_gobierno_central_pct_pbi,formacion_bruta_de_capital_fijo_pct_del_pib,remuneracion_publica_pct_pbi,expectativa_de_inflacion_a_12_meses,pbi_pct___otros_servicios,gastos_corrientes_pct_pbi
2000,19.69052043,0.877192982,5.552098743,60.71474297,2.625,1.564790193,19.69052043,0.877192982,5.552098743,60.71474297,2.625,1.564790193,19.69052043,0.877192982,5.552098743,60.71474297,2.625,1.564790193,19.69052043,0.877192982,5.552098743,60.71474297,2.625,1.564790193,4.184720547,1.229930766,0.911,80.7007,0.3758,4.296470065,3.734235306,48.30427912,363.6226,1.056211113,-3.430126708,13.02884054,3.777028924,2.694359246,15.83526578,19.67007044,5.681567901,2.052777778,2.388260664,15.48368524,4.184720547,1.229930766,0.911,80.7007,0.3758,4.296470065,3.734235306,48.30427912,363.6226,1.056211113,-3.430126708,13.02884054,3.777028924,2.694359246,15.83526578,19.67007044,5.681567901,2.052777778,2.388260664,15.48368524,4.184720547,1.229930766,0.911,80.7007,0.3758,4.296470065,3.734235306,48.30427912,363.6226,1.056211113,-3.430126708,13.02884054,3.777028924,2.694359246,15.83526578,19.67007044,5.681567901,2.052777778,2.388260664,15.48368524,4.184720547,1.229930766,0.911,80.7007,0.3758,4.296470065,3.734235306,48.30427912,363.6226,1.056211113,-3.430126708,13.02884054,3.777028924,2.694359246,15.83526578,19.67007044,5.681567901,2.052777778,2.388260664,15.48368524
2001,19.69052043,9.918478261,0.867740043,60.71474297,2.625,2.199224502,19.69052043,9.918478261,0.867740043,60.71474297,2.625,2.199224502,19.69052043,9.918478261,0.867740043,60.71474297,2.625,2.199224502,19.69052043,9.918478261,0.867740043,60.71474297,2.625,2.199224502,3.25194528,-0.604009902,0.911,80.7007,0.3684,4.296470065,-0.127351804,47.44104821,363.6226,1.056211113,-2.821033936,12.95396002,0.811798133,0.617833916,14.91977799,17.96665699,5.681567901,2.052777778,-1.007418022,15.4162702,3.25194528,-0.604009902,0.911,80.7007,0.3684,4.296470065,-0.127351804,47.44104821,363.6226,1.056211113,-2.821033936,12.95396002,0.811798133,0.617833916,14.91977799,17.96665699,5.681567901,2.052777778,-1.007418022,15.4162702,3.25194528,-0.604009902,0.911,80.7007,0.3684,4.296470065,-0.127351804,47.44104821,363.6226,1.056211113,-2.821033936,12.95396002,0.811798133,0.617833916,14.91977799,17.96665699,5.681567901,2.052777778,-1.007418022,15.4162702,3.25194528,-0.604009902,0.911,80.7007,0.3684,4.296470065,-0.127351804,47.44104821,363.6226,1.056211113,-2.821033936,12.95396002,0.811798133,0.617833916,14.91977799,17.96665699,5.681567901,2.052777778,-1.007418022,15.4162702
2002,19.69052043,9.956736712,6.639054346,60.71474297,2.625,3.935620845,19.69052043,9.956736712,6.639054346,60.71474297,2.625,3.935620845,19.69052043,9.956736712,6.639054346,60.71474297,2.625,3.935620845,19.69052043,9.956736712,6.639054346,60.71474297,2.625,3.935620845,2.953346382,4.342408299,0.911,80.7007,0.3783,4.296470065,1.515843599,48.81313179,363.6226,1.056211113,-2.313010696,12.73731476,2.939202792,5.453705392,15.10771883,16.73093191,5.681567901,2.052777778,3.97890028,15.21014835,2.953346382,4.342408299,0.911,80.7007,0.3783,4.296470065,1.515843599,48.81313179,363.6226,1.056211113,-2.313010696,12.73731476,2.939202792,5.453705392,15.10771883,16.73093191,5.681567901,2.052777778,3.97890028,15.21014835,2.953346382,4.342408299,0.911,80.7007,0.3783,4.296470065,1.515843599,48.81313179,363.6226,1.056211113,-2.313010696,12.73731476,2.939202792,5.453705392,15.10771883,16.73093191,5.681567901,2.052777778,3.97890028,15.21014835,2.953346382,4.342408299,0.911,80.7007,0.3783,4.296470065,1.515843599,48.81313179,363.6226,1.056211113,-2.313010696,12.73731476,2.939202792,5.453705392,15.10771883,16.73093191,5.681567901,2.052777778,3.97890028,15.21014835
2003,19.69052043,3.965488168,3.898864582,60.71474297,2.625,2.273086425,19.69052043,3.965488168,3.898864582,60.71474297,2.625,2.273086425,19.69052043,3.965488168,3.898864582,60.71474297,2.625,2.273086425,19.69052043,3.965488168,3.898864582,60.71474297,2.625,2.273086425,2.918575345,3.188171989,0.911,80.7007,0.3851,4.296470065,2.483753673,48.84508286,363.6226,2.856574567,-1.753550741,13.51094748,3.042155585,4.164882674,15.56054605,16.92106667,5.681567901,2.264930556,5.099918665,15.17677013,2.918575345,3.188171989,0.911,80.7007,0.3851,4.296470065,2.483753673,48.84508286,363.6226,2.856574567,-1.753550741,13.51094748,3.042155585,4.164882674,15.56054605,16.92106667,5.681567901,2.264930556,5.099918665,15.17677013,2.918575345,3.188171989,0.911,80.7007,0.3851,4.296470065,2.483753673,48.84508286,363.6226,2.856574567,-1.753550741,13.51094748,3.042155585,4.164882674,15.56054605,16.92106667,5.681567901,2.264930556,5.099918665,15.17677013,2.918575345,3.188171989,0.911,80.7007,0.3851,4.296470065,2.483753673,48.84508286,363.6226,2.856574567,-1.753550741,13.51094748,3.042155585,4.164882674,15.56054605,16.92106667,5.681567901,2.264930556,5.099918665,15.17677013
2004,19.69052043,5.982212851,7.445403735,60.71474297,2.666666667,2.394892075,19.69052043,5.982212851,7.445403735,60.71474297,2.666666667,2.394892075,19.69052043,5.982212851,7.445403735,60.71474297,2.666666667,2.394892075,19.69052043,5.982212851,7.445403735,60.71474297,2.666666667,2.394892075,2.898459618,4.051716208,0.911,129.9943,0.3978,4.189500377,3.481080682,44.68558577,409.8457,1.089218582,-1.133290516,13.77498969,5.75706453,4.958281234,15.65591845,16.78855814,5.512089275,2.658680556,3.93903908,14.79367086,2.898459618,4.051716208,0.911,129.9943,0.3978,4.189500377,3.481080682,44.68558577,409.8457,1.089218582,-1.133290516,13.77498969,5.75706453,4.958281234,15.65591845,16.78855814,5.512089275,2.658680556,3.93903908,14.79367086,2.898459618,4.051716208,0.911,129.9943,0.3978,4.189500377,3.481080682,44.68558577,409.8457,1.089218582,-1.133290516,13.77498969,5.75706453,4.958281234,15.65591845,16.78855814,5.512089275,2.658680556,3.93903908,14.79367086,2.898459618,4.051716208,0.911,129.9943,0.3978,4.189500377,3.481080682,44.68558577,409.8457,1.089218582,-1.133290516,13.77498969,5.75706453,4.958281234,15.65591845,16.78855814,5.512089275,2.658680556,3.93903908,14.79367086
2005,19.69052043,10.27903892,6.585230168,60.71474297,3.020833333,3.390348169,19.69052043,10.27903892,6.585230168,60.71474297,3.020833333,3.390348169,19.69052043,10.27903892,6.585230168,60.71474297,3.020833333,3.390348169,19.69052043,10.27903892,6.585230168,60.71474297,3.020833333,3.390348169,3.090967304,5.402408755,0.836,166.871433,0.4219,4.209663077,1.494260325,41.84813662,445.468375,1.363383106,-0.355456066,14.53376008,5.156530409,6.285208166,16.77052605,17.062082,5.637226366,2.463541667,5.30984339,15.21906645,3.090967304,5.402408755,0.836,166.871433,0.4219,4.209663077,1.494260325,41.84813662,445.468375,1.363383106,-0.355456066,14.53376008,5.156530409,6.285208166,16.77052605,17.062082,5.637226366,2.463541667,5.30984339,15.21906645,3.090967304,5.402408755,0.836,166.871433,0.4219,4.209663077,1.494260325,41.84813662,445.468375,1.363383106,-0.355456066,14.53376008,5.156530409,6.285208166,16.77052605,17.062082,5.637226366,2.463541667,5.30984339,15.21906645,3.090967304,5.402408755,0.836,166.871433,0.4219,4.209663077,1.494260325,41.84813662,445.468375,1.363383106,-0.355456066,14.53376008,5.156530409,6.285208166,16.77052605,17.062082,5.637226366,2.463541667,5.30984339,15.21906645
2006,19.69052043,1.90119345,7.269039627,60.71474297,4.291666667,3.910656805,19.69052043,1.90119345,7.269039627,60.71474297,4.291666667,3.910656805,19.69052043,1.90119345,7.269039627,60.71474297,4.291666667,3.910656805,19.69052043,1.90119345,7.269039627,60.71474297,4.291666667,3.910656805,3.246030812,6.711068001,0.819,304.910892,0.4622,3.588638587,1.137484663,33.81812962,604.580967,1.280219806,2.466220669,15.99559235,11.87803398,7.528776892,18.52775294,17.78613778,3.181662139,2.452430556,7.796508669,13.82326727,3.246030812,6.711068001,0.819,304.910892,0.4622,3.588638587,1.137484663,33.81812962,604.580967,1.280219806,2.466220669,15.99559235,11.87803398,7.528776892,18.52775294,17.78613778,3.181662139,2.452430556,7.796508669,13.82326727,3.246030812,6.711068001,0.819,304.910892,0.4622,3.588638587,1.137484663,33.81812962,604.580967,1.280219806,2.466220669,15.99559235,11.87803398,7.528776892,18.52775294,17.78613778,3.181662139,2.452430556,7.796508669,13.82326727,3.246030812,6.711068001,0.819,304.910892,0.4622,3.588638587,1.137484663,33.81812962,604.580967,1.280219806,2.466220669,15.99559235,11.87803398,7.528776892,18.52775294,17.78613778,3.181662139,2.452430556,7.796508669,13.82326727
2007,19.69052043,4.16269463,10.55359407,60.71474297,4.708333333,5.374286559,19.69052043,4.16269463,10.55359407,60.71474297,4.708333333,5.374286559,19.69052043,4.16269463,10.55359407,60.71474297,4.708333333,5.374286559,19.69052043,4.16269463,10.55359407,60.71474297,4.708333333,5.374286559,3.540359606,7.795406858,0.792,322.930225,0.4902,3.909857557,3.92767933,29.57498585,697.4074167,1.485751381,3.06501271,16.3788671,10.29491525,8.518450092,19.0166634,19.98542352,2.938989638,2.175,8.668297633,13.66978025,3.540359606,7.795406858,0.792,322.930225,0.4902,3.909857557,3.92767933,29.57498585,697.4074167,1.485751381,3.06501271,16.3788671,10.29491525,8.518450092,19.0166634,19.98542352,2.938989638,2.175,8.668297633,13.66978025,3.540359606,7.795406858,0.792,322.930225,0.4902,3.909857557,3.92767933,29.57498585,697.4074167,1.485751381,3.06501271,16.3788671,10.29491525,8.518450092,19.0166634,19.98542352,2.938989638,2.175,8.668297633,13.66978025,3.540359606,7.795406858,0.792,322.930225,0.4902,3.909857557,3.92767933,29.57498585,697.4074167,1.485751381,3.06501271,16.3788671,10.29491525,8.518450092,19.0166634,19.98542352,2.938989638,2.175,8.668297633,13.66978025
2008,19.69052043,7.09591831,8.61060216,60.71474297,5.895833333,5.743356976,19.69052043,7.09591831,8.61060216,60.71474297,5.895833333,5.743356976,19.69052043,7.09591831,8.61060216,60.71474297,5.895833333,5.743356976,19.69052043,7.09591831,8.61060216,60.71474297,5.895833333,5.743356976,4.491316328,8.439373029,0.788,315.5845065,0.5118,4.1105701,6.650207334,26.60240359,871.6126159,4.252152312,2.525815249,16.4865968,10.96597686,9.126568316,19.23921354,23.42658037,2.913102575,4.022569444,8.918615858,13.80591029,4.491316328,8.439373029,0.788,315.5845065,0.5118,4.1105701,6.650207334,26.60240359,871.6126159,4.252152312,2.525815249,16.4865968,10.96597686,9.126568316,19.23921354,23.42658037,2.913102575,4.022569444,8.918615858,13.80591029,4.491316328,8.439373029,0.788,315.5845065,0.5118,4.1105701,6.650207334,26.60240359,871.6126159,4.252152312,2.525815249,16.4865968,10.96597686,9.126568316,19.23921354,23.42658037,2.913102575,4.022569444,8.918615858,13.80591029,4.491316328,8.439373029,0.788,315.5845065,0.5118,4.1105701,6.650207334,26.60240359,871.6126159,4.252152312,2.525815249,16.4865968,10.96597686,9.126568316,19.23921354,23.42658037,2.913102575,4.022569444,8.918615858,13.80591029
2009,19.69052043,0.80793194,-6.716153735,65.03563313,3.25,5.32237544,19.69052043,0.80793194,-6.716153735,65.03563313,3.25,5.32237544,19.69052043,0.80793194,-6.716153735,65.03563313,3.25,5.32237544,19.69052043,0.80793194,-6.716153735,65.03563313,3.25,5.32237544,5.664615076,0.439437496,0.77,234.3115418,0.4912,3.581233699,0.245316436,26.5766873,972.211574,1.705839697,-1.286333151,14.29604931,-0.46808197,1.095823661,16.62703142,22.1386316,3.071054954,2.490277778,3.666622555,14.17265763,5.664615076,0.439437496,0.77,234.3115418,0.4912,3.581233699,0.245316436,26.5766873,972.211574,1.705839697,-1.286333151,14.29604931,-0.46808197,1.095823661,16.62703142,22.1386316,3.071054954,2.490277778,3.666622555,14.17265763,5.664615076,0.439437496,0.77,234.3115418,0.4912,3.581233699,0.245316436,26.5766873,972.211574,1.705839697,-1.286333151,14.29604931,-0.46808197,1.095823661,16.62703142,22.1386316,3.071054954,2.490277778,3.666622555,14.17265763,5.664615076,0.439437496,0.77,234.3115418,0.4912,3.581233699,0.245316436,26.5766873,972.211574,1.705839697,-1.286333151,14.29604931,-0.46808197,1.095823661,16.62703142,22.1386316,3.071054954,2.490277778,3.666622555,14.17265763
