year,Formación bruta de capital fijo (% del PIB)
2000,19.67007044
2001,17.96665699
2002,16.73093191
2003,16.92106667
2004,16.78855814
2005,17.062082
2006,17.78613778
2007,19.98542352
2008,23.42658037
2009,22.1386316
2010,23.51337863
2011,23.3485326
2012,25.04452592
2013,25.30079697
2014,24.54051551
2015,23.08856814
2016,21.44694504
2017,20.60759692
2018,20.92325188
2019,20.97156896
2020,19.94147021
2021,23.08267536
2022,23.27122166
2023,21.10960407
2024,20.59844559
2025,20.51533428
