year,Gastos corrientes (% PBI)
2000,15.48368524
2001,15.4162702
2002,15.21014835
2003,15.17677013
2004,14.79367086
2005,15.21906645
2006,13.82326727
2007,13.66978025
2008,13.80591029
2009,14.17265763
2010,13.63594709
2011,13.45445745
2012,13.55769444
2013,14.27661553
2014,15.41707852
2015,15.61474527
2016,14.90840386
2017,14.91540933
2018,14.96689185
2019,15.13000401
2020,19.7968442
2021,16.83783192
2022,15.71030996
2023,15.3626737
2024,14.64545007
2025,14.30697872
"		",
