year,Índice de Precios al Consumidor (IPC)
2000,3.734235306
2001,-0.127351804
2002,1.515843599
2003,2.483753673
2004,3.481080682
2005,1.494260325
2006,1.137484663
2007,3.92767933
2008,6.650207334
2009,0.245316436
2010,2.076444232
2011,4.738420842
2012,2.649368881
2013,2.859681156
2014,3.224061189
2015,4.397928542
2016,3.23488195
2017,1.364855884
2018,2.192523154
2019,1.900091579
2020,1.973232229
2021,6.430387163
2022,8.459162
2023,3.237382564
2024,1.966302701
2025,1.508799739
"		",
