year,Ingresos Corrientes del Gobierno Central (% PBI)
2000,15.83526578
2001,14.91977799
2002,15.10771883
2003,15.56054605
2004,15.65591845
2005,16.77052605
2006,18.52775294
2007,19.0166634
2008,19.23921354
2009,16.62703142
2010,17.76505566
2011,18.82654724
2012,19.13523808
2013,18.83285295
2014,18.88499576
2015,16.4518227
2016,15.01635084
2017,14.69025324
2018,15.80586468
2019,16.06790382
2020,14.4947904
2021,17.6685779
2022,18.8363551
2023,16.51816693
2024,15.84532061
2025,16.15092264
