year,PBI per cápita (%)
2000,1.229930766
2001,-0.604009902
2002,4.342408299
2003,3.188171989
2004,4.051716208
2005,5.402408755
2006,6.711068001
2007,7.795406858
2008,8.439373029
2009,0.439437496
2010,7.54866333
2011,5.54438935
2012,5.383458317
2013,5.029316335
2014,1.431263893
2015,2.052806795
2016,2.387220791
2017,0.694582904
2018,2.031955908
2019,0.429240905
2020,-12.28339003
2021,12.01124656
2022,1.705578382
2023,-1.323223097
2024,2.564579043
2025,2.505438316
"		",
