year,Ingresos Tributarios del Gobierno Central (% PBI)
2000,13.02884054
2001,12.95396002
2002,12.73731476
2003,13.51094748
2004,13.77498969
2005,14.53376008
2006,15.99559235
2007,16.3788671
2008,16.4865968
2009,14.29604931
2010,15.28523381
2011,16.07148983
2012,16.51521075
2013,16.27797264
2014,16.44244571
2015,14.56133454
2016,13.29695499
2017,12.6612534
2018,13.83477149
2019,14.02964841
2020,12.6794505
2021,15.67517736
2022,16.55677557
2023,14.45288605
2024,14.03167373
2025,14.41759296
"		",
