year,Resultado Económico (% PBI)
2000,-3.430126708
2001,-2.821033936
2002,-2.313010696
2003,-1.753550741
2004,-1.133290516
2005,-0.355456066
2006,2.466220669
2007,3.06501271
2008,2.525815249
2009,-1.286333151
2010,-0.175183348
2011,2.080541711
2012,2.273126581
2013,0.884219037
2014,-0.251583417
2015,-1.916098214
2016,-2.31678499
2017,-2.947583961
2018,-2.263513278
2019,-1.591678333
2020,-8.710946847
2021,-2.484246421
2022,-1.676662254
2023,-2.750917915
2024,-3.449474432
2025,-2.176717427
"		",
